City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,Bubaque,GW,11.28,-15.83,78.3,84,100,7.81,moderate rain
244,Vysokogornyy,RU,50.12,139.15,66.43,87,100,3,overcast clouds
245,Broken Arrow,US,36.05,-95.79,93,48,0,9.22,clear sky
246,Dangriga,BZ,16.97,-88.23,80.08,83,20,6.35,few clouds
247,Yamada,JP,39.47,141.95,71.06,81,100,5.61,overcast clouds
248,Wakkanai,JP,45.41,141.67,69.35,91,100,7.36,overcast clouds
249,Karpogory,RU,64,44.45,58.21,68,20,3.53,few clouds
250,Talnakh,RU,69.49,88.4,63.21,44,93,3.83,overcast clouds
251,Panguna,PG,-6.32,155.48,83.07,54,70,4.72,broken clouds
252,Khani,GE,41.96,42.96,63.97,84,29,2.71,scattered clouds
253,Faanui,PF,-16.48,-151.75,78.4,75,17,22.75,light rain
254,Iqaluit,CA,63.75,-68.51,42.01,82,48,14.38,scattered clouds
255,Kristiansund,NO,63.11,7.73,53.65,93,100,12.66,drizzle
256,Berdigestyakh,RU,62.1,126.7,74.79,61,97,6.17,overcast clouds
257,Alta Floresta,BR,-9.88,-56.09,73.24,44,20,1.97,few clouds
258,Palauig,PH,15.44,119.9,84.81,71,100,3.47,overcast clouds
259,Aklavik,CA,68.22,-135.01,68.27,49,99,4.09,overcast clouds
260,Rudbar,AF,30.15,62.6,86.49,23,0,13.58,clear sky
261,Neijiang,CN,29.58,105.06,86.32,75,13,3.58,few clouds
262,Nurota,UZ,40.56,65.69,82.9,24,0,2.75,clear sky
263,Lata,PT,40.16,-8.33,61.12,93,86,1.45,overcast clouds
264,Moron,AR,-34.65,-58.62,55.15,86,100,6.73,overcast clouds
265,Panaba,MX,21.28,-88.27,75.02,90,90,6.26,overcast clouds
266,Hays,US,30.05,-98.03,89.6,62,45,5.99,scattered clouds
267,Cairns,AU,-16.92,145.77,84.07,67,100,11.5,overcast clouds
268,Saint-Pierre,RE,-21.34,55.48,65.88,76,20,6.91,few clouds
269,Kamennomostskiy,RU,44.3,40.19,64.8,86,0,4.5,clear sky
270,Ambon,ID,-3.7,128.18,82.54,83,40,8.05,scattered clouds
271,Muscat,OM,23.61,58.59,87.82,74,9,6.64,clear sky
272,Finschhafen,PG,-6.6,147.87,84.72,66,38,11.56,moderate rain
273,Te Anau,NZ,-45.42,167.72,44.31,94,100,7.92,overcast clouds
274,Urumqi,CN,43.8,87.6,77.95,39,0,8.95,clear sky
275,College,US,64.86,-147.8,75,40,75,6.91,broken clouds
276,Francistown,BW,-21.17,27.51,56.44,61,38,6.87,scattered clouds
277,Aksay,RU,47.26,39.87,70.25,75,10,1.99,clear sky
278,Kiunga,PG,-6.12,141.29,82.13,79,96,2.33,overcast clouds
279,Buckeye,US,33.37,-112.58,98.89,34,96,4.61,overcast clouds
280,Lagoa,PT,39.05,-27.98,74.01,89,22,4.12,light rain
281,Asosa,ET,10.07,34.53,57.31,93,98,3.78,overcast clouds
282,Vysokopillya,UA,47.49,33.53,63.68,86,17,5.19,few clouds
283,Pimentel,PE,-6.84,-79.93,62.33,87,49,13.94,scattered clouds
284,Bullhead City,US,35.15,-114.57,108.82,20,0,11.5,clear sky
285,Meulaboh,ID,4.14,96.13,76.39,85,100,5.46,overcast clouds
286,Baijiantan,CN,45.63,85.18,82.36,36,99,7.9,overcast clouds
287,Guerrero Negro,MX,27.98,-114.06,71.06,83,4,16.96,clear sky
288,Tshikapa,CD,-6.42,20.8,73.15,60,31,1.32,scattered clouds
289,Mogzon,RU,51.74,111.96,71.11,56,100,9.17,overcast clouds
290,Cockburn Town,TC,21.46,-71.14,82.15,74,6,20.02,clear sky
291,Lucapa,AO,-8.42,20.74,64.22,70,10,4.25,clear sky
292,Marawi,PH,8,124.29,81.03,65,71,2.71,broken clouds
293,Price,US,39.6,-110.81,83.46,20,20,8.05,few clouds
294,Viking,CA,53.1,-111.77,58.46,93,100,13.85,overcast clouds
295,Sola,VU,-13.88,167.55,81.36,73,18,12.26,few clouds
296,Geraldton,AU,-28.77,114.6,63.01,67,46,17.27,scattered clouds
297,Vieux-Habitants,GP,16.06,-61.77,80.17,76,98,12.48,overcast clouds
298,Kudahuvadhoo,MV,2.67,72.89,80.55,79,100,17.43,overcast clouds
299,Coari,BR,-4.09,-63.14,73.58,94,100,1.45,overcast clouds
300,Kourou,GF,5.16,-52.65,82.11,89,36,6.87,scattered clouds
301,Mercedes,AR,-34.65,-59.43,52.65,89,100,7.72,overcast clouds
302,Paoua,CF,7.24,16.44,66.9,98,51,2.42,moderate rain
303,Husavik,IS,66.04,-17.34,42.42,93,100,17.94,overcast clouds
304,Carnarvon,AU,-24.87,113.63,66.65,53,95,14.29,overcast clouds
305,Takoradi,GH,4.88,-1.76,72.07,80,54,8.28,broken clouds
306,Dauriya,RU,49.93,116.87,69.69,87,100,5.86,overcast clouds
307,Batagay-Alyta,RU,67.8,130.41,43.61,83,100,3.24,overcast clouds
308,Komsomolskiy,UZ,40.43,71.72,81.39,33,11,4.16,few clouds
309,Ola,RU,59.58,151.28,64.15,83,100,15.32,overcast clouds
310,Olafsvik,IS,64.89,-23.71,46.11,75,24,9.44,few clouds
311,Xinmin,CN,41.99,122.83,87.01,76,98,14.61,overcast clouds
312,Bardiyah,LY,31.76,25.09,76.55,72,0,10.27,clear sky
313,Virginia Beach,US,36.85,-75.98,82.02,90,20,0,few clouds
314,Kibondo,TZ,-3.59,30.72,64.15,59,96,0.54,overcast clouds
315,Okhotsk,RU,59.38,143.3,58.86,84,100,4.52,overcast clouds
316,Narok,KE,-1.08,35.86,56.28,87,100,5.35,overcast clouds
317,Valparaiso,CL,-33.04,-71.63,47.84,76,20,5.75,few clouds
318,Faya,SA,18.39,42.45,61.32,69,100,3.71,overcast clouds
319,Chiredzi,ZW,-21.05,31.67,57.33,85,0,1.86,clear sky
320,Ulladulla,AU,-35.35,150.47,64.49,76,100,11.63,moderate rain
321,Panzhihua,CN,26.59,101.71,80.87,71,56,0.29,moderate rain
322,Linguere,SN,15.4,-15.12,79.74,74,100,9.44,overcast clouds
323,Tura,IN,25.52,90.22,77.29,89,100,0.98,light rain
324,Port Augusta,AU,-32.5,137.77,67.05,31,3,28.27,clear sky
325,Machaneng,BW,-23.19,27.49,59.36,65,54,11.18,broken clouds
326,Andenes,NO,69.31,16.12,57.18,94,100,3.44,overcast clouds
327,Kavaratti,IN,10.57,72.64,77.81,89,100,29.33,overcast clouds
328,Villa Del Rosario,CO,7.83,-72.47,75.58,100,40,0,scattered clouds
329,Kruisfontein,ZA,-34,24.73,55.98,91,94,7.11,overcast clouds
330,Banamba,ML,13.55,-7.45,72.86,88,100,0.4,light rain
331,Belmonte,BR,-15.86,-38.88,69.13,75,1,4.56,clear sky
332,Millerovo,RU,48.92,40.4,69.17,70,88,4.36,overcast clouds
333,Vao,NC,-22.67,167.48,71.73,82,43,13.53,scattered clouds
334,Kozhva,RU,65.11,57.05,60.91,91,99,3.96,light rain
335,Buala,SB,-8.15,159.59,84.24,70,23,8.75,light rain
336,Tunduma,TZ,-9.3,32.77,49.33,92,0,6.17,clear sky
337,Alofi,NU,-19.06,-169.92,78.69,65,75,19.57,broken clouds
338,Gidole,ET,5.65,37.37,55.62,78,98,3.47,overcast clouds
339,Zhanaozen,KZ,43.3,52.8,79.77,29,24,9.55,few clouds
340,Almeria,ES,37.17,-2.33,76.77,36,0,2.82,clear sky
341,Deputatskiy,RU,69.3,139.9,46,63,98,3.65,overcast clouds
342,Nabire,ID,-3.37,135.48,80.04,88,99,4.54,overcast clouds
343,Nara,JP,34.69,135.8,94.96,38,96,11.39,overcast clouds
344,Ilulissat,GL,69.22,-51.1,55.42,50,75,16.11,broken clouds
345,Ilula,TZ,-7.68,36.04,52.63,95,9,5.41,clear sky
346,Asfi,MA,32.3,-9.24,68.41,90,0,13.33,clear sky
347,Sohag,EG,26.56,31.69,83.61,32,4,8.37,clear sky
348,Churapcha,RU,62,132.43,76.86,56,88,5.79,overcast clouds
349,Atar,MR,20.52,-13.05,84.79,47,12,11.97,few clouds
350,Krasnyy Yar,RU,46.53,48.35,75.13,35,22,4.16,few clouds
351,Atherton,GB,53.52,-2.49,61.21,91,85,4,overcast clouds
352,Uchaly,RU,54.3,59.45,58.14,79,4,5.79,clear sky
353,Walla Walla,US,46.06,-118.34,91.89,30,0,8.05,clear sky
354,Sassandra,CI,4.95,-6.08,72.52,85,99,6.8,overcast clouds
355,Holstebro,DK,56.36,8.62,61.21,97,57,6.96,broken clouds
356,Lakatoro,VU,-16.1,167.42,83.05,70,8,7.34,clear sky
357,Kahului,US,20.89,-156.47,84.22,70,20,21.85,few clouds
358,Sechura,PE,-5.56,-80.82,64.49,79,80,15.23,broken clouds
359,West Wendover,US,40.74,-114.07,85.21,30,0,14.97,clear sky
360,Ambunti,PG,-4.24,142.84,90.72,55,92,2.24,overcast clouds
361,Hasaki,JP,35.73,140.83,79.29,78,100,12.24,moderate rain
362,Fortuna,US,40.6,-124.16,64.09,82,0,10.36,clear sky
363,Mezhova,UA,48.25,36.73,65.43,83,14,5.84,few clouds
364,Tabatinga,BR,-4.25,-69.94,77.09,94,40,0,scattered clouds
365,Bobo Dioulasso,BF,11.18,-4.3,71.22,95,87,5.57,overcast clouds
366,Sao Felix Do Xingu,BR,-6.64,-52,72.48,50,10,1.14,clear sky
367,Narsaq,GL,60.92,-46.05,50.22,99,100,5.75,heavy intensity rain
368,Aswan,EG,24.09,32.91,86.47,22,0,8.81,clear sky
369,Ossora,RU,59.24,163.07,62.06,69,99,2.33,overcast clouds
370,Kimbe,PG,-5.55,150.14,89.85,56,98,5.39,overcast clouds
371,Puerto Del Rosario,ES,28.5,-13.86,71.35,88,20,19.57,few clouds
372,Sibinal,GT,15.13,-92.05,45.61,91,75,5.59,broken clouds
373,Quimperle,FR,47.87,-3.55,63.99,94,0,4.61,clear sky
374,Namie,JP,37.48,141,75.72,92,100,4.18,overcast clouds
375,Manakara,MG,-22.13,48.02,66.9,83,100,4.07,light rain
376,Januaria,BR,-15.48,-44.37,68.18,43,1,3.58,clear sky
377,Whyalla,AU,-33.03,137.58,67.89,32,1,29.93,clear sky
378,Urucara,BR,-2.54,-57.76,73.99,93,96,2.33,overcast clouds
379,Luganville,VU,-15.53,167.17,82,77,33,6.91,scattered clouds
380,Plouzane,FR,48.38,-4.62,59.32,97,75,4.61,broken clouds
381,Pucara,PE,-15.98,-71.46,32.13,38,0,1.83,clear sky
382,Peace River,CA,56.25,-117.29,64.71,59,100,4.61,overcast clouds
383,Abong Mbang,CM,3.98,13.18,65.01,98,84,2.46,broken clouds
384,Catuday,PH,16.29,119.81,83.79,70,98,4.05,overcast clouds
385,Ewa Beach,US,21.32,-158.01,84.15,58,100,13.8,overcast clouds
386,Nyrob,RU,60.73,56.72,62.26,71,94,3.94,overcast clouds
387,Manicore,BR,-5.81,-61.3,75.15,94,0,2.3,moderate rain
388,Kathu,TH,7.92,98.33,86.76,74,100,6.6,overcast clouds
389,Nanakuli,US,21.39,-158.15,84.15,58,100,13.8,overcast clouds
390,Mount Gambier,AU,-37.83,140.77,60.71,59,26,19.57,scattered clouds
391,Bagan,RU,54.1,77.66,67.66,52,2,8.41,clear sky
392,Imbituba,BR,-28.24,-48.67,68.09,88,10,21.99,clear sky
393,Saint-Augustin,CA,51.23,-58.65,57.9,83,52,13.2,broken clouds
394,Doha,QA,25.29,51.53,96.78,55,73,6.91,broken clouds
395,Salinopolis,BR,-0.61,-47.36,78.17,84,9,10.25,clear sky
396,Maningrida,AU,-12.07,134.27,88.09,51,100,10.42,overcast clouds
397,Half Moon Bay,US,37.46,-122.43,79.03,85,100,17.27,mist
398,Maldonado,UY,-34.67,-54.92,51.19,96,100,6.24,moderate rain
399,Turukhansk,RU,65.82,87.98,60.98,42,15,3.8,few clouds
400,Baghdad,IQ,33.34,44.4,85.91,30,0,3.44,clear sky
401,Nemuro,JP,43.32,145.58,60.28,88,100,10.47,overcast clouds
402,Kutum,SD,14.2,24.67,73.92,64,94,10.42,overcast clouds
403,Porto Seguro,BR,-16.45,-39.06,70.32,83,40,2.3,scattered clouds
