City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
478,Marseille,FR,75.85,clear sky,43.33,5.5,Hôtel The Originals Côté Sud (ex Inter-Hotel)
479,Frederick,US,80.46,clear sky,39.47,-77.4,Hampton Inn & Suites Frederick-Fort Detrick
481,Ulcinj,ME,79.02,clear sky,41.93,19.22,Hotel Palata Venezia
482,Konstantinovka,RU,86.97,broken clouds,49.62,127.98,
483,Bayonet Point,US,82.94,broken clouds,28.33,-82.68,"Holiday Inn Express & Suites Port Richey, an IHG Hotel"
485,Mount Isa,AU,89.37,scattered clouds,-20.73,139.5,ibis Styles Mt Isa Verona
486,Yeppoon,AU,76.78,clear sky,-23.13,150.73,Villa Mar Colina
487,Kununurra,AU,89.58,clear sky,-15.77,128.73,Hotel Kununurra
489,Gunjur,GM,75.27,scattered clouds,13.2,-16.73,Jallo Kurundingoto Eco Tourist Camp
506,Tezu,IN,81.59,overcast clouds,27.92,96.17,Circuit House
507,Qui Nhon,VN,88.59,overcast clouds,13.77,109.23,Seagull Hotel
508,Havelock,US,84.15,clear sky,34.88,-76.9,Sherwood Motel
513,Pedernales,DO,80.76,overcast clouds,18.04,-71.74,Hotel Costa Marina
515,Orbetello,IT,77.0,clear sky,42.44,11.22,Argentario Golf & Wellness Resort
518,Tomatlan,MX,78.75,few clouds,19.93,-105.25,El Salvial
519,Sirjan,IR,75.22,clear sky,29.45,55.68,هتل عطرسیب سیرجان
522,Saint-Georges,GD,78.48,scattered clouds,12.06,-61.75,Radisson Grenada Beach Resort
523,Araguacu,BR,75.02,clear sky,-12.93,-49.83,Brunas Park Hotel
525,Umm Lajj,SA,85.78,overcast clouds,25.02,37.27,Moon light Furnished Units
527,Mantua,IT,78.04,clear sky,45.17,10.78,Hotel la Favorita
528,Dohrighat,IN,86.67,overcast clouds,26.26,83.52,"Hotel Shahi Palace, & Beer Bar,"
530,Misratah,LY,80.53,clear sky,32.38,15.09,Almasa Hotel
531,Praia,CV,77.54,few clouds,14.92,-23.51,LT Aparthotel
532,Port Hedland,AU,77.05,clear sky,-20.32,118.57,The Esplanade Hotel
533,Awbari,LY,85.03,clear sky,26.59,12.78,فندق أوباري
535,Miragoane,HT,80.83,overcast clouds,18.44,-73.09,Wj hotel
537,Goundam,ML,84.94,scattered clouds,16.41,-3.67,
538,Dandong,CN,84.43,overcast clouds,40.13,124.39,Yiranju Farmstay
541,Tecoanapa,MX,81.75,overcast clouds,16.52,-98.75,Hotel Manglares
545,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
549,Isangel,VU,86.11,broken clouds,-19.55,169.27,Tanna Lodge
550,Hirara,JP,89.87,scattered clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
552,Tondano,ID,80.69,broken clouds,1.3,124.91,Villa Bella
558,Bull Savanna,JM,76.51,overcast clouds,17.89,-77.59,Big Red's
562,San Francisco,US,78.31,few clouds,37.77,-122.42,Edwardian Hotel
563,Changji,CN,83.19,clear sky,44.02,87.32,Lvye Holiday Resort
566,Labuan,MY,86.36,scattered clouds,5.28,115.24,Tiara Labuan Hotel
574,Naples,IT,78.85,clear sky,40.83,14.25,Rex Lifestyle Hotel in Naples
576,Kokoda,PG,89.94,clear sky,-8.88,147.74,Daito Guest House
578,Mujiayingzi,CN,89.83,broken clouds,42.12,118.78,Jinjiang Hotel
583,Sokone,SN,76.86,overcast clouds,13.88,-16.37,Hôtel le Caïman
585,Oranjestad,AW,82.35,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
586,Nalut,LY,81.97,clear sky,30.33,10.85,
591,Samarai,PG,81.18,few clouds,-10.62,150.67,Nuli Sapi
592,Aripuana,BR,80.29,overcast clouds,-9.17,-60.63,
593,Kuhdasht,IR,83.39,clear sky,33.54,47.61,ابزار الات موسی پور
594,Hambantota,LK,77.83,light rain,6.12,81.12,Bungalow 63
596,Mawlaik,MM,83.95,overcast clouds,23.63,94.42,AKZ Guest House
601,Aktau,KZ,79.38,few clouds,43.65,51.2,Silk Way Hotel
604,Erdaojiang,CN,83.97,broken clouds,41.78,126.03,Tonggang Hotel
606,Tessalit,ML,84.58,clear sky,20.2,1.01,
615,Gewane,ET,77.16,overcast clouds,10.17,40.65,እንደገና ገዋኔ ሞቴል
616,Turayf,SA,80.85,clear sky,31.67,38.66,Turaif
617,Mahendranagar,NP,81.79,overcast clouds,28.92,80.33,Agan Cottage
629,Banda Aceh,ID,83.77,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
630,Mareeba,AU,79.45,clear sky,-17.0,145.43,Trinity Plains Tourist Park
633,Tortosa,ES,76.24,clear sky,40.81,0.52,Parador de Tortosa
635,Luzhou,CN,88.57,scattered clouds,28.87,105.44,Shijichun Hotel
637,Ciudad Bolivar,VE,76.06,overcast clouds,8.12,-63.55,Hotel Edi
639,Bandarbeyla,SO,77.18,overcast clouds,9.49,50.81,JABIR HOTEL
641,Andros Town,BS,82.36,clear sky,24.7,-77.77,Hanks place
642,Semnan,IR,84.74,clear sky,35.57,53.4,Semnan Tourist Hotel
645,Pemangkat,ID,78.08,overcast clouds,1.17,108.97,Ramah Kost KITA
646,Denpasar,ID,83.86,scattered clouds,-8.65,115.22,Warna Kedaton Hotel and Meetings
649,Ban Nahin,LA,84.25,overcast clouds,18.24,104.21,
650,Tawau,MY,87.93,broken clouds,4.25,117.89,Shervinton Executive Boutique Hotel
651,Moussoro,TD,79.88,overcast clouds,13.64,16.49,Pharmacie alnadja Moussoro
652,Sung Noen,TH,87.66,overcast clouds,14.9,101.82,Ploynamkang Resort
656,Bitung,ID,88.65,scattered clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
657,Bo Rai,TH,85.73,broken clouds,12.57,102.54,Baiboon Resort
658,Lapi,PH,81.01,overcast clouds,17.72,121.9,
664,Sabang,ID,82.29,light rain,5.89,95.32,Hotel Citra
669,Dumas,US,81.61,clear sky,35.87,-101.97,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
673,Beaufort,MY,88.0,overcast clouds,5.35,115.75,The Gem Hotel Beaufort
675,Balabac,PH,86.36,moderate rain,7.99,117.06,Sing and Swing Lodge
