City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,Lorengau,PG,2022-08-03 23:20:38,-2.0226,147.2712,81.61,82,90,12.03
133,Coihaique,CL,2022-08-03 23:18:06,-45.5752,-72.0662,39.15,81,75,6.91
134,Longyearbyen,SJ,2022-08-03 23:20:39,78.2186,15.6401,49.84,81,75,9.22
135,Port Hedland,AU,2022-08-03 23:12:23,-20.3167,118.5667,55.45,88,4,4.61
136,Cockburn Town,TC,2022-08-03 23:20:40,21.4612,-71.1419,82.17,76,7,18.86
137,Provideniya,RU,2022-08-03 23:21:40,64.3833,-173.3,44.71,100,75,13.42
138,Poronaysk,RU,2022-08-03 23:21:40,49.2167,143.1167,57.94,97,100,11.59
139,Lavrentiya,RU,2022-08-03 23:12:12,65.5833,-171.0,49.89,80,35,7.63
140,Gaomi,CN,2022-08-03 23:21:41,36.3833,119.7528,81.18,88,2,6.58
141,Slonim,BY,2022-08-03 23:21:41,53.0867,25.3219,60.31,92,2,4.14
142,Bukachacha,RU,2022-08-03 23:21:42,52.9833,116.9167,61.54,99,100,3.2
143,Tezu,IN,2022-08-03 23:19:14,27.9167,96.1667,75.49,93,96,3.44
144,Youkounkoun,GN,2022-08-03 23:21:42,12.5333,-13.1333,74.84,95,100,6.44
145,Bredasdorp,ZA,2022-08-03 23:21:43,-34.5322,20.0403,47.59,93,5,6.06
146,Meulaboh,ID,2022-08-03 23:21:43,4.1363,96.1285,73.94,90,100,3.83
147,Henties Bay,NA,2022-08-03 23:21:44,-22.116,14.2845,53.87,92,74,6.13
148,East London,ZA,2022-08-03 23:10:16,-33.0153,27.9116,69.26,50,66,5.41
149,Ambikapur,IN,2022-08-03 23:21:44,23.1167,83.2,76.87,87,100,4.03
150,Rockland,US,2022-08-03 23:21:45,41.1668,-74.0496,88.88,47,0,6.73
151,Comodoro Rivadavia,AR,2022-08-03 23:20:50,-45.8667,-67.5,44.46,61,0,4.61
152,Iskateley,RU,2022-08-03 23:21:45,67.6803,53.1512,54.48,86,94,15.03
153,San Isidro,PE,2022-08-03 23:21:46,-12.1167,-77.05,65.01,75,100,11.5
154,Aswan,EG,2022-08-03 23:21:46,24.0934,32.907,90.7,19,0,5.75
155,Sechura,PE,2022-08-03 23:21:47,-5.5569,-80.8222,69.75,66,55,18.28
156,Itarema,BR,2022-08-03 23:21:47,-2.9248,-39.9167,77.22,78,53,12.41
157,Wuan,CN,2022-08-03 23:21:47,31.6836,112.0044,82.51,80,4,2.55
158,Asau,RO,2022-08-03 23:21:48,46.4333,26.4,65.95,88,7,4.65
159,Alindao,CF,2022-08-03 23:21:48,5.0267,21.2088,69.4,96,58,1.88
160,Hithadhoo,MV,2022-08-03 23:12:26,-0.6,73.0833,80.76,74,97,18.25
161,Geelong,AU,2022-08-03 23:20:12,-38.1471,144.3607,53.47,78,75,5.75
162,Batagay-Alyta,RU,2022-08-03 23:17:51,67.8006,130.4114,41.31,91,100,4.32
163,Tikapur,NP,2022-08-03 23:21:49,28.5,81.1333,78.96,87,100,4.07
164,Bara,NG,2022-08-03 23:21:49,10.3744,10.7288,72.32,89,58,5.1
